Trait,ANumber,Sequence
Triangle,A131689,[1 0 1 0 1 2 0 1 6 6 0 1 14 36 24 0 1 30 150 240 120 0 1 62 540 1560 ]
Reverse,A090582,[1 1 0 2 1 0 6 6 1 0 24 36 14 1 0 120 240 150 30 1 0 720 1800 1560 ]
DiagTri,A344392,[1 0 0 1 0 1 0 1 2 0 1 6 0 1 14 6 0 1 30 36 0 1 62 150 24 0 1 126 540 ]
PolyTri,A344499,[1 0 1 0 1 1 0 3 2 1 0 13 10 3 1 0 75 74 21 4 1 0 541 730 219 36 5 1 ]
Sum,A000670,[1 1 3 13 75 541 4683 47293 545835 7087261 102247563 1622632573 ]
EvenSum,A052841,[1 0 2 6 38 270 2342 23646 272918 3543630 51123782 811316286 ]
OddSum,A089677,[0 1 1 7 37 271 2341 23647 272917 3543631 51123781 811316287 ]
AltSum,A000012,[1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 ]
DiagSum,A105795,[1 0 1 1 3 7 21 67 237 907 3741 16507 77517 385627 2024301 11174587 ]
Middle,A344397,[1 0 1 1 14 30 540 1806 40824 186480 5103000 29607600 953029440 ]
Central,A210029,[1 1 14 540 40824 5103000 953029440 248619571200 86355926616960 ]   
LeftSide,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
RightSide,A000142,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
PosHalf,A122704,[1 1 4 22 160 1456 15904 202672 2951680 48361216 880405504 ]
NegHalf,A009006,[1 1 0 -2 0 16 0 -272 0 7936 0 -353792 0 22368256 0 -1903757312 0 ]
PolyVal2,A004123,[1 2 10 74 730 9002 133210 2299754 45375130 1007179562 24840104410 ]
PolyVal3,A032033,[1 3 21 219 3045 52923 1103781 26857659 746870565 23365498683 ]
PolyValn,A094420,[1 1 10 219 8676 544505 49729758 6232661239 1026912225160 ]
BinConv,A000312,[1 1 4 27 256 3125 46656 823543 16777216 387420489 10000000000 ]   
IBinConv,A344053,[1 1 0 -9 -40 125 3444 18571 -241872 -5796711 -24387220 1132278191 ]
TransSqrs,A083411,[0 1 9 79 765 8311 100989 1362439 20246445 328972471 5805917469 ]
TransNat0,A069321,[0 1 5 31 233 2071 21305 249271 3270713 47580151 760192505 ]
TransNat1,A005649,[1 2 8 44 308 2612 25988 296564 3816548 54667412 862440068 ]
