Triangle,Trait,ANumber,Sequence
OEIS Similars: A356546,,,
levin,Triangle ,A356546,[1 2 2 6 12 6 20 60 60 20 70 280 420 280 70 252 1260 2520 2520 1260 ]
levin,TriRev   ,A356546,[1 2 2 6 12 6 20 60 60 20 70 280 420 280 70 252 1260 2520 2520 1260 ]
levin,TriAcc   ,nothing,[1 2 4 6 18 24 20 80 140 160 70 350 770 1050 1120 252 1512 4032 ]
levin,TriRevAcc,nothing,[1 4 2 24 18 6 160 140 80 20 1120 1050 770 350 70 8064 7812 6552 ]
levin,TriAccRev,nothing,[1 2 4 6 18 24 20 80 140 160 70 350 770 1050 1120 252 1512 4032 ]
levin,TriDiag  ,A008556,[1 2 6 2 20 12 70 60 6 252 280 60 924 1260 420 20 3432 5544 2520 ]
levin,TriPoly  ,nothing,[1 2 1 6 4 1 20 24 6 1 70 160 54 8 1 252 1120 540 96 10 1 924 8064 ]
levin,TriConv  ,nothing,[1 2 8 6 36 216 20 160 1200 8000 70 700 6300 49000 343000 252 3024 ]
levin,TriBin   ,nothing,[1 2 4 6 18 36 20 80 200 400 70 350 1050 2450 4900 252 1512 5292 ]
levin,TriInvBin,nothing,[1 2 0 6 6 -12 20 40 -40 0 70 210 -70 -210 420 252 1008 252 -1512 ]
levin,Sum      ,A059304,[1 4 24 160 1120 8064 59136 439296 3294720 24893440 189190144 ]
levin,EvenSum  ,A069723,[1 2 12 80 560 4032 29568 219648 1647360 12446720 94595072 ]
levin,OddSum   ,A069723,[0 2 12 80 560 4032 29568 219648 1647360 12446720 94595072 ]
levin,AltSum   ,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
levin,AccSum   ,nothing,[1 6 48 400 3360 28224 236544 1976832 16473600 136913920 1135140864 ]
levin,AccRevSum,nothing,[1 6 48 400 3360 28224 236544 1976832 16473600 136913920 1135140864 ]
levin,RevAccSum,nothing,[1 6 48 400 3360 28224 236544 1976832 16473600 136913920 1135140864 ]
levin,DiagSum  ,A006139,[1 2 8 32 136 592 2624 11776 53344 243392 1116928 5149696 23835904 ]
levin,RowLcm   ,nothing,[1 2 12 60 840 2520 55440 360360 3603600 12252240 465585120 ]
levin,RowGcd   ,A000984,[1 2 6 20 70 252 924 3432 12870 48620 184756 705432 2704156 ]
levin,RowMax   ,nothing,[1 2 12 60 420 2520 18480 120120 900900 6126120 46558512 325909584 ]
levin,Middle   ,nothing,[1 2 12 60 420 2520 18480 120120 900900 6126120 46558512 325909584 ]
levin,Central  ,A000897,[1 12 420 18480 900900 46558512 2498640144 137680171200 ]
levin,LeftSide ,A000984,[1 2 6 20 70 252 924 3432 12870 48620 184756 705432 2704156 ]
levin,RightSide,A000984,[1 2 6 20 70 252 924 3432 12870 48620 184756 705432 2704156 ]
levin,PosHalf  ,A098658,[1 6 54 540 5670 61236 673596 7505784 84440070 956987460 ]
levin,NegHalf  ,A000984,[1 -2 6 -20 70 -252 924 -3432 12870 -48620 184756 -705432 2704156 ]
levin,Bin      ,A002894,[1 4 36 400 4900 63504 853776 11778624 165636900 2363904400 ]
levin,InvBin   ,A000897,[1 0 -12 0 420 0 -18480 0 900900 0 -46558512 0 2498640144 0 ]
levin,TransSqrs,nothing,[0 2 36 480 5600 60480 620928 6150144 59304960 560102400 5202728960 ]
levin,TransNat0,nothing,[0 2 24 240 2240 20160 177408 1537536 13178880 112020480 945950720 ]
levin,TransNat1,nothing,[1 6 48 400 3360 28224 236544 1976832 16473600 136913920 1135140864 ]
levin,DiagRow0 ,A000984,[1 2 6 20 70 252 924 3432 12870 48620 184756 705432 2704156 ]
levin,DiagRow1 ,A005430,[2 12 60 280 1260 5544 24024 102960 437580 1847560 7759752 32449872 ]
levin,DiagRow2 ,A000911,[6 60 420 2520 13860 72072 360360 1750320 8314020 38798760 ]
levin,DiagRow3 ,nothing,[20 280 2520 18480 120120 720720 4084080 22170720 116396280 ]
levin,DiagCol0 ,A000984,[1 2 6 20 70 252 924 3432 12870 48620 184756 705432 2704156 ]
levin,DiagCol1 ,A005430,[2 12 60 280 1260 5544 24024 102960 437580 1847560 7759752 32449872 ]
levin,DiagCol2 ,A000911,[6 60 420 2520 13860 72072 360360 1750320 8314020 38798760 ]
levin,DiagCol3 ,nothing,[20 280 2520 18480 120120 720720 4084080 22170720 116396280 ]
levin,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
levin,PolyRow1 ,A004275,[2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 ]
levin,PolyRow2 ,A033581,[6 24 54 96 150 216 294 384 486 600 726 864 1014 1176 1350 1536 ]
levin,PolyRow3 ,nothing,[20 160 540 1280 2500 4320 6860 10240 14580 20000 26620 34560 43940 ]
levin,PolyCol0 ,A000984,[1 2 6 20 70 252 924 3432 12870 48620 184756 705432 2704156 ]
levin,PolyCol1 ,A059304,[1 4 24 160 1120 8064 59136 439296 3294720 24893440 189190144 ]
levin,PolyCol2 ,A098658,[1 6 54 540 5670 61236 673596 7505784 84440070 956987460 ]
levin,PolyCol3 ,A098430,[1 8 96 1280 17920 258048 3784704 56229888 843448320 12745441280 ]
levin,PolyDiag ,nothing,[1 4 54 1280 43750 1959552 108707676 7197425664 554011299270 ]
# levin, 49 traits, 29 A-numbers,59%
