Triangle,Trait,ANumber,Sequence
OEIS Similars: A008281 A008282 A010094,,,
seidel,Triangle ,A008281,[1 0 1 0 1 1 0 1 2 2 0 2 4 5 5 0 5 10 14 16 16 0 16 32 46 56 61 61 ]
seidel,TriRev   ,nothing,[1 1 0 1 1 0 2 2 1 0 5 5 4 2 0 16 16 14 10 5 0 61 61 56 46 32 16 0 ]
seidel,TriAcc   ,nothing,[1 0 1 0 1 2 0 1 3 5 0 2 6 11 16 0 5 15 29 45 61 0 16 48 94 150 211 ]
seidel,TriRevAcc,nothing,[1 1 0 2 1 0 5 3 1 0 16 11 6 2 0 61 45 29 15 5 0 272 211 150 94 48 ]
seidel,TriAccRev,A008282,[1 1 1 1 2 2 2 4 5 5 5 10 14 16 16 16 32 46 56 61 61 61 122 178 224 ]
seidel,TriDiag  ,nothing,[1 0 0 1 0 1 0 1 1 0 2 2 0 5 4 2 0 16 10 5 0 61 32 14 5 0 272 122 ]
seidel,TriPoly  ,nothing,[1 0 1 0 1 1 0 2 2 1 0 5 6 3 1 0 16 26 12 4 1 0 61 140 75 20 5 1 0 ]
seidel,TriConv  ,nothing,[1 0 1 0 1 2 0 1 3 9 0 2 6 20 70 0 5 15 53 200 833 0 16 48 172 670 ]
seidel,TriBin   ,nothing,[1 0 1 0 1 3 0 1 4 11 0 2 8 23 57 0 5 20 59 152 361 0 16 64 190 496 ]
seidel,TriInvBin,nothing,[1 0 1 0 1 -1 0 1 0 -1 0 2 0 -1 1 0 5 0 -1 0 1 0 16 0 -2 0 1 -1 0 ]
seidel,Sum      ,A000111,[1 1 2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 ]
seidel,EvenSum  ,nothing,[1 0 1 2 9 26 149 618 4277 23122 188457 1257154 11812705 93774138 ]
seidel,OddSum   ,nothing,[0 1 1 3 7 35 123 767 3659 27399 165335 1445611 10555551 105586843 ]
seidel,AltSum   ,nothing,[1 -1 0 -1 2 -9 26 -149 618 -4277 23122 -188457 1257154 -11812705 ]
seidel,AccSum   ,A034428,[1 1 3 9 35 155 791 4529 28839 201939 1542739 12767689 113794603 ]
seidel,AccRevSum,A034428,[1 1 3 9 35 155 791 4529 28839 201939 1542739 12767689 113794603 ]
seidel,RevAccSum,A000111,[1 2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 199360981 ]
seidel,DiagSum  ,nothing,[1 0 1 1 2 4 11 31 112 456 2179 11791 71828 485140 3599099 29069251 ]
seidel,RowLcm   ,nothing,[1 1 1 2 20 560 314272 165389056 23981211622400 281812254093464320 ]
seidel,RowGcd   ,A078315,[1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
seidel,RowMax   ,A000111,[1 1 1 2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 ]
seidel,Middle   ,nothing,[1 0 1 1 4 10 46 178 1024 5296 36976 238816 1965664 15214480 ]
seidel,Central  ,A000657,[1 1 4 46 1024 36976 1965664 144361456 13997185024 1731678144256 ]
seidel,LeftSide ,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
seidel,RightSide,A000111,[1 1 1 2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 ]
seidel,PosHalf  ,nothing,[1 1 3 10 47 264 1799 14288 130683 1353152 15679675 201167616 ]
seidel,NegHalf  ,nothing,[1 1 -1 2 -5 40 -205 1808 -14921 159424 -1782409 23039744 ]
seidel,Bin      ,A001586,[1 1 3 11 57 361 2763 24611 250737 2873041 36581523 512343611 ]
seidel,InvBin   ,A000012,[1 1 -1 -1 1 1 -1 -1 1 1 -1 -1 1 1 -1 -1 1 1 -1 -1 1 1 -1 -1 1 1 -1 ]
seidel,TransSqrs,nothing,[0 1 5 27 143 827 5175 35255 260251 2074623 17780875 163187203 ]
seidel,TransNat0,nothing,[0 1 3 11 45 211 1113 6551 42585 303271 2348973 19665491 176992725 ]
seidel,TransNat1,A000111,[1 2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 199360981 ]
seidel,DiagRow0 ,A000111,[1 1 1 2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 ]
seidel,DiagRow1 ,A000111,[0 1 2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 ]
seidel,DiagRow2 ,A006212,[0 1 4 14 56 256 1324 7664 49136 345856 2652244 22014464 196658216 ]
seidel,DiagRow3 ,A006213,[0 2 10 46 224 1202 7120 46366 329984 2551202 21306880 191252686 ]
seidel,DiagCol0 ,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
seidel,DiagCol1 ,A000111,[1 1 1 2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 ]
seidel,DiagCol2 ,A001250,[1 2 4 10 32 122 544 2770 15872 101042 707584 5405530 44736512 ]
seidel,DiagCol3 ,A006216,[2 5 14 46 178 800 4094 23536 150178 1053440 8057774 66750976 ]
seidel,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
seidel,PolyRow1 ,A001477,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ]
seidel,PolyRow2 ,A002378,[0 2 6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 ]
seidel,PolyRow3 ,A048395,[0 5 26 75 164 305 510 791 1160 1629 2210 2915 3756 4745 5894 7215 ]
seidel,PolyCol0 ,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
seidel,PolyCol1 ,A000111,[1 1 2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 ]
seidel,PolyCol2 ,nothing,[1 2 6 26 140 930 7280 66034 680544 7865098 100760704 1417772682 ]
seidel,PolyCol3 ,nothing,[1 3 12 75 582 5667 65406 879591 13483518 232328391 4444489830 ]
seidel,PolyDiag ,nothing,[1 1 6 75 1672 62025 3404112 260912099 26532106368 3457039470993 ]
# seidel, 49 traits, 28 A-numbers,57%
